2026-06-24 16:00:33,711 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:04:42,068 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:06:52,526 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:06:55,970 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:06:57,213 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:06:59,280 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:07:00,239 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:07:39,190 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:07:44,295 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:08:36,429 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:11:21,873 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:16:45,982 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:18:17,476 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:19:20,484 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:23:11,333 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:36:45,546 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:43:16,826 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 16:50:02,162 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 17:31:59,553 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 17:41:46,237 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 17:55:24,323 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:03:53,371 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:21:12,474 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:36:16,815 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:39:34,958 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:46:37,399 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:46:50,285 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:50:59,048 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:52:06,224 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 18:54:13,789 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 19:03:16,528 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 19:36:03,301 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 19:55:06,163 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 20:01:21,012 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 20:17:56,538 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 21:31:50,365 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 22:00:30,988 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 22:12:46,442 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 22:48:56,108 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 23:21:42,086 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 23:26:09,020 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 23:40:18,778 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 23:46:42,353 | INFO | MainThread | Veritabani dogrulandi.
2026-06-24 23:57:56,190 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 00:27:59,845 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 01:30:34,641 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 01:32:11,411 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 01:36:20,826 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 01:40:19,537 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 01:43:43,988 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 02:40:38,556 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 02:44:36,863 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 02:51:43,723 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 02:59:03,356 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 03:08:04,984 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 03:23:35,475 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 03:59:53,129 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:02:53,727 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:08:05,422 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:16:42,750 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:22:20,714 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:24:56,279 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:30:37,158 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:33:56,556 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:38:19,688 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:41:03,767 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:45:48,022 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:54:12,529 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 04:59:44,481 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 11:59:06,781 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 12:33:14,748 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 12:40:06,287 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 13:08:24,379 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 13:56:25,179 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 14:03:04,665 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 14:54:00,670 | INFO | MainThread | Veritabani dogrulandi.
2026-06-25 17:20:00,714 | INFO | MainThread | Veritabani dogrulandi.
